zip,data
8884,0
8887,0
8889,0
8901,0
10010,0
10019,0
10024,0
10025,0
10034,0
10128,0
10260,0
10304,0
10306,0
10308,0
10312,0
10454,0
10455,0
10462,0
10528,0
10566,0
10577,0
10598,0
10606,0
10607,0
10703,0
10803,0
10918,0
10922,0
10924,0
10925,0
10940,0
10950,0
10962,0
10965,0
10974,0
11050,0
11101,0
11105,0
11205,0
11209,0
11211,0
11213,0
11218,0
11221,0
11224,0
11231,0
11233,0
11235,0
11249,0
11358,0
11362,0
11367,0
11372,0
11373,0
11379,0
11385,0
11414,0
11428,0
11434,0
11501,0
11510,0
11552,0
11558,0
11561,0
11566,0
11572,0
11579,0
11704,0
11706,0
11713,0
11715,0
11720,0
11730,0
11731,0
11735,0
11741,0
11743,0
11755,0
11756,0
11757,0
11758,132
11767,0
11769,0
11771,0
11776,0
11780,0
11782,0
11783,0
11788,0
11789,0
11795,0
11901,0
11946,0
11950,0
11955,0
11961,0
11967,0
12010,0
12019,0
12020,0
12025,0
12056,0
12058,0
12065,20
12106,16
12110,0
12180,0
12188,0
12203,0
12205,0
12212,0
12477,0
12508,0
12524,0
12533,0
12550,0
12553,74
12563,0
12581,0
12603,0
12721,0
12790,0
12804,0
12831,0
12839,0
12885,0
12901,0
12921,0
13021,0
13041,0
13104,0
13126,0
13340,0
13417,0
13431,0
13452,0
13492,1
13760,0
13815,0
13827,0
13850,0
13862,0
14004,0
14036,0
14037,0
14070,0
14072,0
14075,0
14085,0
14086,0
14094,58
14105,0
14120,201
14127,0
14136,0
14141,0
14206,0
14216,0
14218,0
14223,0
14225,0
14226,0
14304,0
14305,0
14411,0
14420,0
14423,0
14424,0
14425,0
14428,0
14435,0
14489,0
14519,1
14530,0
14541,0
14551,0
14585,18
14612,0
14617,0
14733,0
14760,0
14770,0
14772,0
14809,0
14814,0
14845,0
14856,0
14870,0
14892,0
15009,0
15010,0
15012,0
15017,0
15022,0
15024,0
15025,0
15032,0
15044,0
15063,0
15066,0
15068,0
15071,0
15074,0
15084,0
15101,0
15102,0
15106,0
15108,0
15116,0
15132,0
15137,0
15146,0
15202,0
15205,0
15207,0
15210,0
15212,0
15215,0
15216,0
15227,0
15228,0
15234,0
15236,0
15237,0
15243,0
15301,0
15317,0
15330,0
15332,0
15342,0
15345,0
15349,0
15367,0
15370,0
15401,0
15417,0
15425,0
15456,0
15470,0
15501,0
15522,0
15537,0
15563,0
15601,0
15613,0
15642,76
15650,0
15668,0
15717,0
15767,0
15774,0
15857,0
15902,0
15904,0
15906,3
15926,0
15931,13
16001,0
16025,0
16033,0
16037,0
16046,15
16056,0
16057,0
16059,0
16101,0
16102,0
16105,0
16117,0
16125,0
16154,0
16159,0
16214,0
16316,0
16317,0
16323,0
16335,0
16428,0
16505,0
16506,0
16508,0
16509,0
16511,0
16601,0
16616,0
16635,5
16648,0
16662,0
16686,0
16735,0
16801,0
16803,0
16823,151
16828,0
16933,0
17003,0
17011,0
17015,0
17019,0
17022,10
17033,0
17042,0
17050,0
17055,0
17062,0
17067,0
17070,0
17078,0
17098,0
17111,0
17112,0
17257,0
17268,0
17307,0
17315,0
17319,0
17320,0
17325,0
17339,0
17363,0
17402,0
17406,0
17408,0
17519,0
17540,0
17545,0
17552,0
17557,19
17560,1
17566,0
17601,0
17602,0
17603,0
17701,0
17801,0
17815,0
17821,0
17847,0
17851,0
17872,0
17922,0
17961,0
18018,0
18020,0
18032,0
18036,0
18045,0
18054,0
18055,0
18070,0
18076,0
18080,0
18092,0
18103,0
18104,0
18337,0
18352,0
18360,0
18424,0
18428,0
18436,0
18466,0
18612,0
18621,0
18661,0
18702,0
18812,0
18840,0
18901,10
18902,0
18914,0
18938,0
18940,0
18951,0
18954,0
18969,0
18974,0
18976,0
19001,0
19007,0
19008,0
19018,0
19020,0
19027,0
19030,0
19038,0
19046,0
19047,0
19058,0
19063,0
19078,0
19082,0
19087,0
19090,0
19111,0
19121,0
19129,0
19131,0
19134,0
19146,0
19147,0
19154,0
19301,0
19317,0
19320,0
19335,0
19344,0
19355,0
19363,0
19365,0
19372,0
19380,0
19382,0
19390,0
19425,0
19440,0
19462,0
19464,0
19465,0
19468,0
19473,0
19492,0
19504,0
19506,0
19508,0
19512,0
19525,0
19534,0
19540,0
19541,0
19549,0
19605,0
19609,0
19610,0
19701,0
19703,0
19707,0
19709,0
19713,0
19720,0
19805,0
19809,0
19901,0
19904,0
19939,0
19941,0
19956,0
19973,0
19975,0
20001,0
20002,0
20003,0
20010,0
20015,0
20019,0
20020,0
20032,0
20105,0
20109,0
20110,0
20111,0
20112,0
20115,0
20120,0
20121,0
20132,0
20136,0
20141,0
20143,0
20148,0
20151,0
20152,0
20155,0
20164,0
20165,0
20166,0
20169,0
20170,0
20171,0
20175,0
20176,0
20182,0
20186,0
20187,0
20191,0
20194,0
20197,0
20198,0
20319,0
20601,0
20603,0
20619,0
20622,0
20639,0
20646,0
20650,0
20657,0
20692,0
20705,0
20707,0
20708,0
20711,0
20721,0
20723,0
20724,0
20733,0
20735,0
20737,0
20740,0
20744,0
20745,0
20750,0
20754,0
20764,0
20765,0
20772,0
20774,0
20777,0
20778,0
20785,0
20794,0
20832,0
20833,0
20841,0
20842,0
20850,0
20852,0
20854,0
20866,0
20872,0
20874,0
20877,0
20878,0
20879,0
20895,0
20904,0
20905,0
20906,0
20910,0
21014,0
21015,0
21030,0
21035,0
21037,0
21042,0
21043,0
21044,0
21046,0
21047,0
21054,0
21060,0
21061,0
21074,0
21078,0
21084,0
21085,0
21108,0
21113,0
21114,0
21117,0
21122,0
21146,0
21157,0
21158,0
21204,0
21207,0
21221,0
21224,0
21227,0
21228,0
21234,0
21236,0
21286,0
21401,0
21403,0
21502,0
21532,0
21541,0
21557,0
21562,0
21601,0
21620,0
21625,0
21629,0
21643,0
21701,0
21702,0
21703,0
21704,0
21718,0
21738,0
21742,0
21757,0
21769,0
21771,0
21784,0
21788,0
21794,0
21795,0
21801,0
21813,0
21826,0
21842,0
21901,0
22003,0
22025,0
22030,0
22031,0
22032,0
22033,0
22042,0
22043,0
22046,0
22066,0
22079,0
22101,0
22102,0
22150,0
22151,0
22152,0
22180,0
22183,0
22191,0
22192,0
22193,0
22201,0
22202,0
22203,0
22206,0
22207,0
22302,0
22304,0
22309,0
22312,0
22314,0
22401,0
22405,0
22406,0
22407,0
22408,0
22554,0
22556,0
22560,0
22567,0
22601,0
22602,0
22620,0
22664,0
22701,0
22716,0
22737,0
22742,0
22801,0
22810,0
22835,0
22903,0
22911,0
22942,0
22960,0
22963,0
22974,0
22980,0
23015,0
23024,0
23059,0
23060,0
23072,0
23093,0
23111,0
23112,0
23113,0
23116,0
23117,0
23140,0
23141,0
23185,0
23188,0
23220,0
23221,0
23226,0
23227,0
23228,0
23231,0
23233,0
23234,0
23235,0
23238,0
23294,0
23310,0
23320,0
23321,0
23322,0
23323,0
23420,0
23435,0
23436,0
23451,0
23452,0
23453,0
23454,0
23455,0
23456,0
23461,0
23462,0
23501,0
23503,0
23505,0
23508,0
23509,0
23510,1
23513,0
23518,0
23607,0
23608,0
23661,0
23662,0
23665,0
23666,0
23692,0
23701,0
23703,0
23704,0
23707,0
23803,0
23805,0
23831,0
23860,0
23875,0
23963,0
24015,0
24018,0
24019,0
24065,0
24073,0
24087,0
24141,0
24149,0
24151,0
24153,0
24179,0
24201,0
24210,0
24211,0
24226,0
24301,0
24354,0
24382,0
24401,0
24450,0
24477,0
24483,0
24501,0
24502,0
24504,0
24521,0
24523,0
24528,0
24541,0
24551,0
24553,0
24558,0
24574,0
24605,0
24701,0
24970,0
25071,0
25245,0
25304,0
25309,0
25313,0
25387,0
25404,0
25405,0
25411,0
25419,0
25427,0
25430,0
25508,0
25510,0
25526,0
25560,0
25651,0
25701,0
25703,0
25801,0
25882,0
26003,0
26035,0
26041,0
26150,0
26201,0
26241,0
26301,0
26330,0
26337,0
26452,0
26501,0
26559,0
26726,0
26743,0
26757,0
26836,0
26847,0
27012,0
27013,0
27020,0
27028,0
27030,0
27040,0
27041,0
27043,0
27048,0
27050,0
27055,0
27101,0
27103,0
27105,0
27106,0
27107,0
27205,0
27214,0
27215,0
27217,0
27235,0
27243,0
27253,0
27262,0
27263,0
27265,0
27278,0
27282,0
27284,0
27288,0
27295,0
27302,0
27310,0
27312,0
27313,0
27320,0
27330,0
27332,0
27350,0
27358,0
27360,0
27370,0
27401,0
27403,0
27405,0
27406,0
27407,0
27409,0
27410,0
27502,0
27513,0
27516,0
27518,0
27519,0
27520,0
27526,0
27529,0
27530,0
27534,0
27537,0
27539,0
27540,0
27541,0
27542,0
27549,0
27560,0
27576,0
27577,0
27587,0
27591,0
27596,0
27603,0
27604,0
27605,0
27606,0
27609,0
27610,0
27613,0
27614,0
27616,0
27617,0
27703,0
27705,0
27707,0
27712,0
27804,0
27829,0
27834,0
27858,0
27870,0
27882,0
27892,0
27893,0
27896,0
27909,0
27921,0
27932,0
27941,0
27958,0
28001,0
28012,0
28021,0
28023,0
28025,0
28027,0
28031,0
28034,0
28036,0
28037,0
28052,0
28056,0
28073,0
28075,0
28078,0
28079,0
28080,0
28090,0
28097,0
28098,0
28104,0
28105,0
28106,0
28110,0
28115,0
28117,0
28125,0
28127,0
28134,0
28146,0
28147,0
28152,0
28164,0
28166,0
28173,0
28202,0
28203,0
28208,0
28210,0
28213,0
28214,0
28215,0
28216,0
28217,0
28226,0
28269,0
28273,0
28277,0
28278,0
28303,0
28306,0
28307,0
28310,0
28311,0
28314,0
28315,0
28323,0
28326,0
28327,0
28348,0
28349,0
28356,0
28357,0
28374,0
28376,0
28379,0
28387,0
28390,0
28391,0
28394,0
28405,0
28409,0
28411,0
28412,0
28443,0
28449,0
28451,0
28457,0
28459,0
28460,0
28466,0
28470,0
28501,0
28512,0
28516,0
28540,0
28546,0
28554,0
28560,0
28572,0
28574,0
28580,0
28584,0
28590,0
28601,0
28602,0
28607,0
28619,0
28625,0
28630,0
28634,0
28638,0
28645,0
28651,0
28655,0
28657,0
28659,0
28665,0
28675,0
28677,0
28681,0
28687,0
28697,0
28701,0
28702,0
28704,0
28713,0
28714,0
28715,0
28716,0
28732,0
28771,0
28772,0
28786,0
28791,0
28792,0
28801,0
28803,0
28805,0
28806,0
28904,0
28906,0
29016,0
29045,0
29054,0
29063,0
29069,0
29070,0
29072,0
29073,0
29118,0
29150,0
29164,0
29169,0
29170,0
29180,0
29201,0
29209,0
29210,0
29223,0
29290,0
29302,0
29303,0
29316,0
29322,0
29323,0
29325,0
29334,0
29341,0
29349,0
29356,0
29376,0
29403,0
29405,0
29407,0
29412,0
29414,0
29430,0
29445,0
29456,0
29461,0
29464,0
29466,0
29483,0
29485,0
29492,0
29505,0
29506,0
29510,0
29526,0
29527,0
29541,0
29566,0
29569,0
29572,0
29575,0
29576,0
29577,0
29579,0
29581,0
29588,0
29601,0
29605,0
29606,0
29607,0
29609,0
29615,0
29617,0
29621,0
29624,0
29626,0
29640,0
29642,0
29650,0
29651,0
29654,0
29662,0
29668,0
29673,0
29678,0
29680,0
29681,0
29690,0
29693,0
29697,0
29706,0
29707,0
29708,0
29710,0
29715,0
29720,0
29730,0
29732,0
29745,0
29801,0
29803,0
29860,0
29902,0
29906,0
29907,0
29910,0
29927,0
29936,0
30004,0
30009,0
30011,0
30016,0
30017,0
30019,0
30022,0
30024,0
30025,0
30028,0
30030,0
30032,0
30033,0
30035,0
30039,0
30040,0
30041,0
30043,0
30044,0
30045,0
30046,0
30047,0
30052,0
30054,0
30055,0
30060,0
30062,0
30064,0
30066,0
30067,0
30068,0
30071,0
30075,0
30076,0
30078,0
30080,0
30082,0
30083,0
30087,0
30092,0
30093,0
30094,0
30096,0
30097,0
30101,0
30102,0
30103,0
30107,0
30110,0
30114,0
30115,0
30116,0
30120,0
30121,0
30122,0
30126,0
30127,0
30132,0
30134,0
30135,0
30141,0
30143,0
30144,0
30145,0
30152,0
30157,0
30165,0
30170,0
30175,0
30180,0
30187,0
30188,0
30189,0
30204,0
30213,0
30214,0
30215,0
30223,0
30224,0
30228,0
30230,0
30233,0
30236,0
30238,0
30240,0
30248,0
30252,0
30253,0
30263,0
30265,0
30268,0
30271,0
30276,0
30277,0
30290,0
30292,0
30294,0
30297,0
30305,0
30306,0
30309,0
30317,0
30318,0
30319,0
30324,0
30327,0
30329,0
30336,0
30338,0
30339,0
30340,0
30341,0
30342,0
30345,0
30350,0
30417,0
30420,0
30461,0
30473,0
30501,0
30504,0
30506,0
30512,0
30513,0
30518,0
30519,0
30523,0
30525,0
30527,0
30528,0
30529,0
30530,0
30531,0
30533,0
30534,0
30537,0
30540,0
30546,0
30548,0
30549,0
30555,0
30567,0
30571,0
30577,0
30606,0
30620,0
30621,0
30622,0
30628,0
30656,0
30668,0
30680,0
30705,0
30707,0
30720,0
30721,0
30730,0
30736,0
30740,0
30809,0
30813,0
30815,0
30901,0
30905,0
30906,0
30907,0
30909,0
31008,0
31015,0
31016,0
31023,0
31032,0
31036,0
31040,0
31047,0
31061,0
31064,0
31087,0
31088,0
31093,0
31210,0
31216,0
31220,0
31312,0
31315,0
31316,0
31322,0
31324,0
31326,0
31404,0
31405,0
31406,0
31408,0
31419,0
31503,0
31510,0
31520,0
31533,0
31539,0
31546,0
31555,0
31558,0
31601,0
31602,0
31605,0
31632,0
31636,0
31709,0
31719,0
31721,0
31763,0
31773,0
31792,0
31793,0
31794,0
31808,0
31820,0
31904,0
31906,0
31909,0
32003,0
32024,0
32033,0
32034,0
32041,0
32043,0
32050,0
32062,0
32065,0
32068,0
32073,0
32080,0
32081,0
32082,0
32084,0
32086,0
32092,0
32095,0
32097,0
32114,0
32117,0
32118,0
32119,0
32127,0
32128,0
32131,0
32136,0
32137,0
32141,0
32145,0
32148,0
32159,0
32162,0
32168,0
32173,0
32174,0
32176,0
32177,0
32180,0
32181,0
32204,0
32205,0
32206,0
32207,0
32210,0
32211,0
32212,0
32216,0
32217,0
32218,0
32223,0
32224,0
32225,0
32226,0
32244,0
32246,0
32256,0
32257,0
32259,0
32301,0
32303,0
32304,0
32308,0
32309,0
32312,0
32327,0
32329,0
32347,0
32401,0
32404,0
32407,0
32409,0
32413,0
32426,0
32439,0
32502,0
32505,0
32506,0
32507,0
32514,0
32526,0
32533,0
32534,0
32536,0
32539,0
32541,0
32542,0
32547,0
32548,0
32550,0
32566,0
32570,0
32571,0
32578,0
32583,0
32591,0
32605,0
32606,0
32607,0
32608,0
32609,0
32615,0
32618,0
32621,0
32640,0
32641,0
32656,0
32693,0
32701,0
32703,0
32707,0
32708,0
32713,0
32714,0
32720,0
32724,0
32725,0
32726,0
32732,0
32736,0
32738,0
32746,0
32747,0
32750,0
32751,0
32754,0
32757,0
32763,0
32765,0
32766,0
32771,0
32773,0
32776,0
32778,0
32779,0
32780,0
32789,0
32790,0
32792,0
32795,0
32796,0
32801,0
32803,0
32804,0
32805,0
32807,0
32809,0
32810,0
32811,0
32812,0
32814,0
32817,0
32818,0
32819,0
32821,0
32822,0
32825,0
32826,0
32827,0
32829,0
32832,0
32833,0
32835,0
32836,0
32837,0
32901,0
32903,0
32904,0
32905,0
32907,0
32908,0
32909,0
32920,0
32922,0
32926,0
32927,0
32931,0
32934,0
32935,0
32937,0
32940,0
32949,0
32951,0
32952,0
32953,0
32955,0
32958,0
32962,0
32966,0
32967,0
32968,0
32976,0
33004,0
33009,0
33010,0
33012,0
33013,0
33016,0
33018,0
33019,0
33020,0
33021,0
33023,0
33024,0
33025,0
33026,0
33027,0
33028,0
33029,0
33035,0
33037,0
33040,0
33042,0
33045,0
33054,0
33056,0
33060,0
33062,0
33063,0
33064,0
33065,0
33067,0
33069,0
33070,0
33071,0
33073,0
33076,0
33111,0
33122,0
33125,0
33126,0
33129,0
33130,0
33131,0
33133,0
33136,0
33137,0
33138,1
33139,0
33141,0
33142,0
33143,0
33146,0
33147,0
33149,0
33150,0
33152,0
33154,0
33155,0
33156,0
33157,0
33158,0
33160,0
33161,0
33165,0
33166,0
33169,0
33170,0
33172,0
33173,0
33174,0
33176,0
33177,0
33178,0
33179,0
33180,0
33181,0
33182,0
33185,0
33186,0
33189,0
33190,0
33193,0
33196,0
33231,0
33266,0
33301,0
33304,0
33306,0
33308,0
33309,0
33311,0
33312,0
33314,0
33315,0
33316,0
33317,0
33321,0
33322,0
33323,0
33324,0
33325,0
33326,0
33328,0
33330,0
33331,0
33351,0
33401,0
33405,0
33408,0
33409,0
33410,0
33411,0
33412,0
33414,0
33418,0
33425,0
33426,0
33428,0
33431,0
33432,0
33433,0
33434,0
33435,0
33436,0
33440,0
33441,0
33442,0
33445,0
33457,0
33458,0
33461,0
33462,0
33463,0
33467,0
33468,0
33469,0
33470,0
33472,0
33478,0
33484,0
33487,0
33496,0
33509,0
33511,0
33539,0
33541,0
33542,0
33543,0
33544,0
33547,0
33548,0
33549,0
33556,0
33558,0
33567,0
33569,0
33572,0
33573,0
33578,0
33594,0
33596,0
33598,0
33601,0
33602,0
33609,0
33613,0
33614,0
33615,0
33617,0
33618,0
33619,0
33624,0
33626,0
33635,0
33637,0
33647,0
33675,0
33701,0
33702,0
33704,0
33706,0
33707,0
33709,0
33710,0
33714,0
33716,0
33755,0
33758,0
33759,0
33761,0
33762,0
33764,0
33767,0
33771,0
33772,0
33773,0
33774,0
33777,0
33778,0
33781,0
33782,0
33785,0
33786,0
33801,0
33803,0
33805,0
33806,0
33809,0
33811,0
33812,0
33813,0
33823,0
33850,0
33852,0
33853,0
33868,0
33870,0
33880,0
33881,0
33903,0
33904,0
33905,0
33907,0
33908,0
33909,0
33912,0
33914,0
33916,0
33917,0
33919,0
33920,0
33931,0
33936,0
33947,0
33950,0
33966,0
33967,0
33974,0
33980,0
33991,0
33993,0
34104,0
34105,0
34108,0
34109,0
34110,0
34116,0
34117,0
34120,0
34145,0
34203,0
34205,0
34208,0
34209,0
34212,0
34219,0
34221,0
34222,0
34223,0
34231,0
34232,0
34233,0
34234,0
34235,0
34237,0
34239,0
34240,0
34241,0
34285,0
34287,0
34288,0
34292,0
34293,0
34326,0
34420,0
34421,0
34428,0
34436,0
34442,0
34446,0
34448,0
34452,0
34461,0
34470,0
34471,0
34475,0
34479,0
34480,0
34491,0
34601,0
34604,0
34606,0
34608,0
34609,0
34611,0
34613,0
34637,0
34638,0
34639,0
34652,0
34653,0
34654,0
34655,0
34667,0
34668,0
34677,0
34680,0
34681,0
34683,0
34684,0
34685,0
34691,0
34711,0
34715,0
34736,0
34737,0
34741,0
34744,0
34748,0
34758,0
34761,0
34769,0
34785,0
34786,0
34787,0
34788,0
34953,0
34957,0
34972,0
34974,0
34982,0
34983,0
34984,0
34985,0
34986,0
34990,0
34994,0
34995,0
34996,0
34997,0
35004,0
35007,0
35010,0
35014,0
35016,0
35020,0
35022,0
35031,0
35040,0
35063,0
35071,0
35077,0
35080,0
35096,0
35111,0
35116,0
35117,0
35120,0
35124,0
35128,0
35131,0
35133,0
35148,0
35150,0
35173,0
35180,0
35209,0
35210,0
35211,0
35213,0
35215,0
35216,0
35224,0
35233,0
35242,0
35244,0
35292,0
35461,0
35466,0
35473,0
35504,0
35565,0
35570,0
35594,0
35601,0
35620,0
35630,0
35633,0
35640,0
35652,0
35661,0
35673,0
35674,0
35749,0
35750,0
35756,0
35757,0
35758,0
35761,0
35763,0
35765,0
35769,0
35801,0
35802,0
35803,0
35805,0
35806,0
35811,0
35901,0
35904,0
35950,0
35952,0
35957,0
35960,0
35961,0
35967,0
35983,0
36054,0
36092,0
36107,0
36108,0
36109,0
36116,0
36117,0
36203,0
36206,0
36207,0
36251,0
36263,0
36268,0
36272,0
36323,0
36362,0
36421,0
36446,0
36456,0
36507,0
36522,0
36526,0
36532,0
36542,0
36571,0
36575,0
36576,0
36611,0
36618,0
36619,0
36685,0
36693,0
36703,0
36784,0
36801,0
36830,0
36854,0
36863,0
36869,0
36870,0
37027,0
37032,0
37037,0
37040,0
37042,0
37043,0
37048,0
37055,0
37062,0
37064,0
37067,0
37075,0
37076,0
37091,0
37115,0
37122,0
37128,0
37129,0
37130,0
37135,0
37148,0
37167,0
37172,0
37174,0
37191,0
37203,0
37209,0
37211,0
37216,0
37221,0
37302,0
37303,0
37311,0
37312,0
37323,0
37330,0
37334,0
37341,0
37343,0
37354,0
37362,0
37363,0
37365,0
37377,0
37379,0
37380,0
37388,0
37397,0
37398,0
37402,0
37405,0
37406,0
37407,0
37411,0
37412,0
37416,0
37421,0
37604,0
37618,0
37620,0
37650,0
37659,0
37687,0
37705,0
37709,0
37716,0
37725,0
37738,0
37748,0
37764,0
37772,0
37777,0
37801,0
37803,0
37853,0
37854,0
37865,0
37876,0
37885,0
37909,0
37917,0
37919,0
37920,0
37921,0
37922,0
37923,0
37924,0
37931,0
37938,0
38002,0
38004,0
38017,0
38053,0
38088,0
38115,0
38117,0
38120,0
38127,0
38135,0
38138,0
38260,0
38261,0
38301,0
38305,0
38310,0
38382,0
38401,0
38477,0
38501,0
38555,0
38556,0
38571,0
38574,0
38632,0
38635,0
38654,0
38655,0
38671,0
38672,0
38680,0
38732,0
38751,0
38769,0
38834,0
38855,0
38865,0
38866,0
38868,0
38901,0
39042,0
39046,0
39047,0
39083,0
39110,0
39120,0
39157,0
39170,0
39180,0
39207,0
39301,0
39402,0
39429,0
39440,0
39503,0
39507,0
39532,0
39560,0
39567,0
39574,0
39581,0
39601,0
39702,0
39740,0
39755,0
39767,0
3980,0
39842,0
39845,0
40004,0
40031,0
40059,0
40065,0
40071,0
40108,0
40117,0
40143,0
40162,0
40165,0
40176,0
40208,0
40216,0
40218,0
40219,0
40222,0
40241,0
40243,0
40272,0
40299,0
40324,0
40330,0
40342,0
40351,0
40353,0
40356,0
40385,0
40390,0
40391,0
40402,0
40403,0
40409,0
40444,0
40475,0
40502,0
40503,0
40505,0
40509,0
40511,0
40514,0
40515,0
40517,0
40701,0
40729,0
40744,0
40806,0
40906,0
41001,0
41007,0
41011,0
41014,0
41017,0
41018,0
41042,0
41056,0
41063,0
41075,0
41091,0
41092,0
41094,0
41139,0
41143,0
41144,0
41169,0
41171,0
41179,0
41224,0
41311,0
41339,0
41352,0
41465,0
41501,0
41653,0
41701,0
41822,0
41858,0
42003,1
42071,0
42101,0
42104,0
42122,0
42160,0
42223,0
42240,0
42275,0
42301,0
42345,0
42348,0
42366,0
42503,0
42544,0
42701,0
42702,0
42718,0
42743,0
42754,0
43001,0
43006,0
43009,0
43014,0
43015,0
43016,0
43017,0
43021,0
43026,0
43031,0
43035,0
43040,0
43046,0
43050,0
43055,0
43056,0
43062,0
43064,0
43068,0
43073,0
43074,0
43076,0
43078,0
43081,0
43082,0
43085,0
43103,0
43110,0
43112,0
43119,0
43123,0
43130,0
43138,0
43147,0
43150,0
43162,0
43204,0
43207,0
43212,0
43213,0
43215,1
43221,0
43223,0
43224,0
43229,0
43230,0
43232,0
43234,0
43235,0
43302,0
43319,0
43351,0
43420,0
43449,0
43452,143
43537,370
43542,0
43555,0
43557,0
43558,0
43560,0
43567,0
43571,0
43612,0
43613,0
43614,0
43615,0
43623,0
43701,0
43718,0
43725,0
43733,0
43779,0
43830,0
43913,0
43920,0
43943,0
43950,0
43952,0
43953,0
44001,0
44004,0
44010,2
44011,0
44017,0
44021,0
44022,1
44023,0
44024,0
44026,0
44028,0
44039,0
44041,0
44044,0
44053,0
44055,0
44060,0
44070,0
44077,0
44089,0
44095,0
44105,0
44107,0
44109,0
44111,0
44113,0
44121,0
44122,0
44124,0
44125,0
44126,0
44138,0
44140,0
44142,0
44145,0
44146,23
44147,0
44149,0
44202,0
44203,0
44212,0
44221,0
44223,0
44224,0
44236,0
44241,0
44255,5
44256,0
44264,0
44266,0
44272,0
44278,0
44280,0
44281,0
44303,0
44310,0
44313,0
44314,0
44319,0
44403,0
44406,1
44410,0
44437,0
44446,18
44451,0
44460,0
44471,0
44481,0
44484,0
44511,0
44512,0
44514,0
44515,0
44601,0
44614,0
44615,0
44622,0
44632,0
44641,0
44646,0
44647,0
44654,0
44657,0
44663,0
44683,0
44691,0
44705,0
44706,0
44710,0
44720,12
44721,0
44811,0
44830,0
44833,0
44836,0
44839,136
44870,0
44875,0
44883,0
44890,0
44903,0
44904,0
44905,0
45005,0
45011,0
45014,0
45036,0
45039,0
45040,0
45042,0
45044,0
45056,0
45068,0
45069,0
45102,0
45103,0
45106,0
45113,0
45150,0
45152,0
45154,0
45177,0
45202,0
45211,0
45212,0
45219,0
45224,0
45225,0
45231,0
45236,0
45239,0
45241,0
45242,0
45247,0
45255,0
